League,Year,Split,Observed_Playoff_Teams,Observed_Playoff_Players,Manual_Format_Note
LCK,2018,Spring,5,28,
LCK,2018,Summer,5,25,
LCK,2019,Spring,5,26,
LCK,2019,Summer,5,25,
LCK,2020,Spring,5,25,
LCK,2020,Summer,5,27,
LCK,2021,Spring,6,31,
LCK,2021,Summer,6,31,
LCK,2022,Spring,6,31,
LCK,2022,Summer,6,31,
LCK,2023,Spring,6,30,
LCK,2023,Summer,6,30,
LCK,2024,Spring,6,30,
LCK,2024,Summer,6,30,
LPL,2018,Spring,8,43,
LPL,2018,Summer,8,48,
LPL,2019,Spring,8,42,
LPL,2019,Summer,8,43,
LPL,2020,Spring,8,44,
LPL,2020,Summer,8,42,
LPL,2021,Spring,10,50,
LPL,2021,Summer,10,51,
LPL,2022,Spring,10,50,
LPL,2022,Summer,10,53,
LPL,2023,Spring,10,50,
LPL,2023,Summer,10,51,
LPL,2024,Spring,10,51,
LPL,2024,Summer,13,65,
