League,Year,Active_N,Elite_N,Active_DOB_Known_N,Active_DOB_Coverage,Elite_DOB_Known_N,Elite_DOB_Coverage
LPL,2018,130,64,111,0.8538461538461538,59,0.921875
LPL,2019,157,63,130,0.8280254777070064,59,0.9365079365079365
LPL,2020,136,63,110,0.8088235294117647,53,0.8412698412698413
LPL,2021,147,63,115,0.782312925170068,54,0.8571428571428571
LPL,2022,138,62,112,0.8115942028985508,52,0.8387096774193549
LPL,2023,123,60,97,0.7886178861788617,52,0.8666666666666667
LPL,2024,120,78,96,0.8,68,0.8717948717948718
LCK,2018,84,34,81,0.9642857142857143,34,1.0
LCK,2019,84,33,80,0.9523809523809523,33,1.0
LCK,2020,89,32,83,0.9325842696629213,31,0.96875
LCK,2021,80,44,77,0.9625,42,0.9545454545454546
LCK,2022,91,42,88,0.967032967032967,40,0.9523809523809523
LCK,2023,72,37,69,0.9583333333333334,36,0.972972972972973
LCK,2024,73,36,71,0.9726027397260274,36,1.0
