League,Year,Split,SplitNumber,DateStart,OverviewPage,stage,IsPlayoffs,Level,IsOfficial,Manual_Format_Note
LCK,2018,Spring,1,2018-01-16,LCK/2018 Season/Spring Season,regular,0,Primary,1,
LCK,2018,Spring,1,2018-03-31,LCK/2018 Season/Spring Playoffs,playoffs,1,Primary,1,
LCK,2018,Summer,2,2018-06-12,LCK/2018 Season/Summer Season,regular,0,Primary,1,
LCK,2018,Summer,2,2018-08-12,LCK/2018 Season/Summer Playoffs,playoffs,1,Primary,1,
LCK,2019,Spring,1,2019-01-16,LCK/2019 Season/Spring Season,regular,0,Primary,1,
LCK,2019,Spring,1,2019-04-03,LCK/2019 Season/Spring Playoffs,playoffs,1,Primary,1,
LCK,2019,Summer,2,2019-06-05,LCK/2019 Season/Summer Season,regular,0,Primary,1,
LCK,2019,Summer,2,2019-08-21,LCK/2019 Season/Summer Playoffs,playoffs,1,Primary,1,
LCK,2020,Spring,1,2020-02-05,LCK/2020 Season/Spring Season,regular,0,Primary,1,
LCK,2020,Spring,1,2020-04-18,LCK/2020 Season/Spring Playoffs,playoffs,1,Primary,1,
LCK,2020,Summer,2,2020-06-17,LCK/2020 Season/Summer Season,regular,0,Primary,1,
LCK,2020,Summer,2,2020-08-26,LCK/2020 Season/Summer Playoffs,playoffs,1,Primary,1,
LCK,2021,Spring,1,2021-01-13,LCK/2021 Season/Spring Season,regular,0,Primary,1,
LCK,2021,Spring,1,2021-03-31,LCK/2021 Season/Spring Playoffs,playoffs,1,Primary,1,
LCK,2021,Summer,2,2021-06-09,LCK/2021 Season/Summer Season,regular,0,Primary,1,
LCK,2021,Summer,2,2021-08-18,LCK/2021 Season/Summer Playoffs,playoffs,1,Primary,1,
LCK,2022,Spring,1,2022-01-12,LCK/2022 Season/Spring Season,regular,0,Primary,1,
LCK,2022,Spring,1,2022-03-23,LCK/2022 Season/Spring Playoffs,playoffs,1,Primary,1,
LCK,2022,Summer,2,2022-06-15,LCK/2022 Season/Summer Season,regular,0,Primary,1,
LCK,2022,Summer,2,2022-08-17,LCK/2022 Season/Summer Playoffs,playoffs,1,Primary,1,
LCK,2023,Spring,1,2023-01-18,LCK/2023 Season/Spring Season,regular,0,Primary,1,
LCK,2023,Spring,1,2023-03-22,LCK/2023 Season/Spring Playoffs,playoffs,1,Primary,1,
LCK,2023,Summer,2,2023-06-07,LCK/2023 Season/Summer Season,regular,0,Primary,1,
LCK,2023,Summer,2,2023-08-08,LCK/2023 Season/Summer Playoffs,playoffs,1,Primary,1,
LCK,2024,Spring,1,2024-01-17,LCK/2024 Season/Spring Season,regular,0,Primary,1,
LCK,2024,Spring,1,2024-03-30,LCK/2024 Season/Spring Playoffs,playoffs,1,Primary,1,
LCK,2024,Summer,2,2024-06-12,LCK/2024 Season/Summer Season,regular,0,Primary,1,
LCK,2024,Summer,2,2024-08-23,LCK/2024 Season/Summer Playoffs,playoffs,1,Primary,1,
LPL,2018,Spring,1,2018-01-15,LPL/2018 Season/Spring Season,regular,0,Primary,1,
LPL,2018,Spring,1,2018-04-12,LPL/2018 Season/Spring Playoffs,playoffs,1,Primary,1,
LPL,2018,Summer,2,2018-06-11,LPL/2018 Season/Summer Season,regular,0,Primary,1,
LPL,2018,Summer,2,2018-09-05,LPL/2018 Season/Summer Playoffs,playoffs,1,Primary,1,
LPL,2019,Spring,1,2019-01-14,LPL/2019 Season/Spring Season,regular,0,Primary,1,
LPL,2019,Spring,1,2019-04-04,LPL/2019 Season/Spring Playoffs,playoffs,1,Primary,1,
LPL,2019,Summer,2,2019-06-01,LPL/2019 Season/Summer Season,regular,0,Primary,1,
LPL,2019,Summer,2,2019-08-22,LPL/2019 Season/Summer Playoffs,playoffs,1,Primary,1,
LPL,2020,Spring,1,2020-01-13,LPL/2020 Season/Spring Season,regular,0,Primary,1,
LPL,2020,Spring,1,2020-04-22,LPL/2020 Season/Spring Playoffs,playoffs,1,Primary,1,
LPL,2020,Summer,2,2020-06-05,LPL/2020 Season/Summer Season,regular,0,Primary,1,
LPL,2020,Summer,2,2020-08-13,LPL/2020 Season/Summer Playoffs,playoffs,1,Primary,1,
LPL,2021,Spring,1,2021-01-09,LPL/2021 Season/Spring Season,regular,0,Primary,1,
LPL,2021,Spring,1,2021-04-01,LPL/2021 Season/Spring Playoffs,playoffs,1,Primary,1,
LPL,2021,Summer,2,2021-06-07,LPL/2021 Season/Summer Season,regular,0,Primary,1,
LPL,2021,Summer,2,2021-08-12,LPL/2021 Season/Summer Playoffs,playoffs,1,Primary,1,
LPL,2022,Spring,1,2022-01-10,LPL/2022 Season/Spring Season,regular,0,Primary,1,
LPL,2022,Spring,1,2022-03-26,LPL/2022 Season/Spring Playoffs,playoffs,1,Primary,1,
LPL,2022,Summer,2,2022-06-10,LPL/2022 Season/Summer Season,regular,0,Primary,1,
LPL,2022,Summer,2,2022-08-16,LPL/2022 Season/Summer Playoffs,playoffs,1,Primary,1,
LPL,2023,Spring,1,2023-01-14,LPL/2023 Season/Spring Season,regular,0,Primary,1,
LPL,2023,Spring,1,2023-03-30,LPL/2023 Season/Spring Playoffs,playoffs,1,Primary,1,
LPL,2023,Summer,1,2023-07-20,LPL/2023 Season/Summer Playoffs,playoffs,1,Primary,1,
LPL,2023,Summer,2,2023-05-29,LPL/2023 Season/Summer Season,regular,0,Primary,1,
LPL,2024,Spring,1,2024-01-22,LPL/2024 Season/Spring Season,regular,0,Primary,1,
LPL,2024,Spring,1,2024-03-31,LPL/2024 Season/Spring Playoffs,playoffs,1,Primary,1,
LPL,2024,Summer Placements,2,2024-06-01,LPL/2024 Season/Summer Placements,regular,0,Primary,1,
LPL,2024,Summer,3,2024-07-05,LPL/2024 Season/Summer Season,regular,0,Primary,1,
LPL,2024,Summer,3,2024-08-03,LPL/2024 Season/Summer Playoffs,playoffs,1,Primary,1,
