PlayerLink,FirstYear,LastYear,Leagues,Sources
AKi (Mao An),2019,2019,LPL,regular
ALL IN,2020,2020,LCK,regular
Assassin,2015,2015,LPL,playoffs; regular
BaBi9,2019,2019,LPL,regular
COOL,2015,2015,LPL,playoffs
Casual,2018,2018,LPL,regular
Caveman,2017,2018,LPL,regular
ClearLove,2015,2015,LPL,playoffs; regular
FishBall,2016,2016,LPL,regular
GODV (Wei Zhen),2015,2015,LPL,playoffs; regular
Gimgoon,2017,2018,LPL,regular
Hoya,2020,2022,LCK,playoffs; regular
HuaTian,2019,2019,LPL,regular
Icon,2017,2017,LPL,playoffs; regular
IgNar,2016,2018,LCK,regular
JieJie,2023,2024,LPL,playoffs; regular
Jiezou,2016,2016,LPL,playoffs; regular
Jiumeng,2019,2021,LPL,playoffs; regular
JueJue,2017,2017,LPL,regular
KongMing,2019,2019,LPL,regular
LANGX,2021,2021,LPL,regular
LeY,2015,2015,LPL,regular
LetMe,2015,2016,LPL,regular
LirA,2016,2016,LCK,playoffs; regular
Loken,2017,2018,LPL,playoffs; regular
Lovecd,2015,2015,LPL,playoffs; regular
Luo (Luo Ci-rui),2015,2016,LPL,regular
Missing,2018,2022,LPL,playoffs; regular
Mong,2018,2018,LCK,regular
Moojin,2019,2019,LCK,regular
Otto (Hou Guo-Yu),2016,2016,LPL,regular
Pout,2023,2023,LPL,regular
Republic,2016,2017,LPL,playoffs; regular
RooKie,2015,2016,LPL,playoffs; regular
SSol,2016,2019,LCK,regular
Samd,2020,2020,LPL,playoffs; regular
Seonghwan,2017,2017,LCK,regular
SmLz,2015,2015,LPL,playoffs; regular
SwordArT,2019,2019,LPL,regular
TANK,2016,2016,LPL,playoffs; regular
TBQ,2015,2015,LPL,playoffs; regular
Tianci,2019,2019,LPL,regular
UCAL,2022,2022,LPL,regular
Wei (Wang Huan-Wei),2015,2015,LPL,regular
XUN,2021,2021,LPL,playoffs; regular
Y1HAN,2017,2017,LPL,regular
YaGao,2018,2018,LPL,playoffs; regular
Yeongjae (Ko Yeong-jae),2020,2020,LCK,regular
ZEKA (Kim Geon-woo),2023,2023,LCK,playoffs; regular
ZWuji,2019,2019,LPL,regular
ZZR,2015,2015,LPL,regular
ZhaoYun,2019,2019,LPL,regular
badeMan,2019,2019,LPL,regular
bei,2016,2016,LPL,regular
beishang,2019,2023,LPL,playoffs; regular
bing (Feng Jin-Wei),2018,2018,LPL,regular
bkr,2023,2023,LPL,regular
bless (Xiang Yi-Tong),2020,2021,LPL,regular
bonO (Kim Gi-beom),2019,2020,LCK,playoffs; regular
can,2022,2022,LPL,regular
caveMan,2016,2016,LPL,playoffs; regular
chen9,2019,2019,LPL,regular
chenlun17,2020,2020,LPL,regular
chimin,2016,2016,LPL,regular
clid,2022,2022,LPL,playoffs; regular
clx,2020,2020,LPL,regular
cold,2020,2020,LPL,regular
corn (Lei Wen),2015,2015,LPL,regular
dade,2015,2016,LPL,regular
deokdam,2020,2024,LCK; LPL,playoffs; regular
dian,2017,2017,LPL,regular
doinb,2017,2017,LPL,regular
fearness,2021,2023,LPL,regular
fenfen,2017,2018,LPL,playoffs; regular
five,2016,2016,LPL,regular
frigid,2022,2022,LPL,regular
