League,Year,elite_n,elite_cov,active_n,active_cov
LoL Champions Korea,2018,34,1.0,85,0.9647058823529412
LoL Champions Korea,2019,33,1.0,84,0.9523809523809523
LoL Champions Korea,2020,32,0.96875,90,0.9333333333333333
LoL Champions Korea,2021,44,0.9545454545454546,80,0.9625
LoL Champions Korea,2022,42,0.9523809523809523,91,0.967032967032967
LoL Champions Korea,2023,37,0.972972972972973,72,0.9583333333333334
LoL Champions Korea,2024,36,1.0,73,0.9726027397260274
Tencent LoL Pro League,2018,64,0.921875,132,0.8560606060606061
Tencent LoL Pro League,2019,63,0.9365079365079365,161,0.8322981366459627
Tencent LoL Pro League,2020,63,0.8412698412698413,137,0.8102189781021898
Tencent LoL Pro League,2021,63,0.8571428571428571,147,0.782312925170068
Tencent LoL Pro League,2022,62,0.8387096774193549,140,0.8142857142857143
Tencent LoL Pro League,2023,60,0.8666666666666667,123,0.7886178861788617
Tencent LoL Pro League,2024,78,0.8717948717948718,121,0.8016528925619835
