AllName,PlayerPage,CurrentID,Birthdate,Country,Nationality,Residency,Birthdate__precision
0909,0909,0909,2003-09-09,China,,China,1
1ntruder,1ntruder,1ntruder,1994-08-14,China,,China,1
1xn,1xn,1xn,2004-05-01,Hong Kong,,China,1
369,369,369,2001-07-12,China,,China,1
5kid,5kid,5kid,1999-11-28,South Korea,,Korea,1
694,694,694,1995-07-25,China,,China,1
705,705,705,2002-05-28,China,,China,1
8917,Leaky,Leaky,2000-12-02,Taiwan,,Asia Pacific,1
957,957,957,1993-09-21,China,,China,1
Able,Able,Able,2000-02-24,China,,China,1
Acorn,Acorn,Acorn,1990-07-13,South Korea,,Korea,1
ADD,ADD,ADD,1998-10-17,South Korea,,Korea,1
Again,Windy,Windy,1997-09-09,China,,China,1
Ahn,Ahn,Ahn,2001-03-15,China,,China,1
Ahn (An Shan-Ye),Ahn,Ahn,2001-03-15,China,,China,1
Aiming,Aiming,Aiming,2000-07-20,South Korea,,Korea,1
Aitong,Bless (Xiang Yi-Tong),bless,2000-11-14,China,,China,1
Aix,Aix,Aix,1999-09-24,China,,China,1
Aki (Mao An),Aki (Mao An),Aki,2000-04-09,China,,China,1
Ale,Ale,Ale,2001-07-23,China,,China,1
Alex (Chen Yu-Ming),Alex (Chen Yu-Ming),Alex,2000-01-22,Taiwan,,Asia Pacific,1
Ali (Liu Xu-Dong),Ali (Liu Xu-Dong),Ali,,China,,China,
Alielie,Alielie,Alielie,2002-09-04,China,,China,1
Aliez (Huang Hao),Aliez (Huang Hao),Aliez,2001-12-28,China,,China,1
All iN,SSUN (Kim Tae-yang),SSUN,1997-11-20,South Korea,,Korea,1
Alone (Wang Zi-Jun),Alone (Wang Zi-Jun),Alone,1998-01-11,China,,China,1
Aluka,Aluka,Aluka,1995-02-12,China,,China,1
Amazing (Liu Shi-Yu),COLD,COLD,1997-02-01,China,,China,1
AmazingJ,AmazingJ,AmazingJ,1997-11-08,Hong Kong,,China,1
Ambition,Ambition,Ambition,1992-10-27,South Korea,,Korea,1
Andil,Andil,Andil,2002-10-05,South Korea,,Korea,1
Andy (Zhang Jie),Andy (Zhang Jie),Andy,1998-10-31,China,,China,1
Angel (Xiang Tao),Angel (Xiang Tao),Angel,2000-09-16,China,,China,1
Ao,Avenger0,Avenger0,,China,,China,
Aodi,Aodi,Aodi,2000-05-28,China,,China,1
Aria (Lee Ga-eul),Aria (Lee Ga-eul),Aria,2000-10-14,South Korea,,Asia Pacific,1
Aries (Lee Chae-hwan),Prince (Lee Chae-hwan),Prince,2000-04-05,South Korea,,Korea,1
Aris,Arise,Arise,2001-06-11,China,,China,1
Arrow,Arrow,Arrow,1994-07-20,South Korea,,North America,1
Arthur (Park Mi-reu),Mir (Park Mi-reu),Mir,2000-05-24,South Korea,,Korea,1
As6,As6,As6,,China,,China,
Asper,Asper,Asper,2000-01-12,South Korea,,Korea,1
AssassIn,Sask,sask,1995-09-29,China,,China,1
Assum,Assum,Assum,2003-11-30,China,,China,1
Asura (Lu Qi),Asura (Lu Qi),Asura,1998-10-13,China,,China,1
Athena,Athena,Athena,1995-10-19,South Korea,,Korea,1
Audi,Aodi,Aodi,2000-05-28,China,,China,1
Avoidless,Avoidless,Avoidless,1994-05-13,Hong Kong,,China,1
Babi9,Babi9,Babi9,1997-01-14,China,,China,1
BaeMe,BaeMe,BaeMe,1993-10-27,South Korea,,Korea,1
BAKA (Lu Fan),Viod (Lu Fan),Viod,,China,,China,
Banana (Guo Yu-Tong),Shupian,Shupian,,China,,China,
