PlayerLink,Team,League,Year,Split,Games
1xn,ThunderTalk Gaming,Tencent LoL Pro League,2024,Summer,8
369,JD Gaming,Tencent LoL Pro League,2022,Spring,14
369,JD Gaming,Tencent LoL Pro League,2022,Summer,13
369,JD Gaming,Tencent LoL Pro League,2023,Spring,12
369,JD Gaming,Tencent LoL Pro League,2023,Summer,13
369,Top Esports,Tencent LoL Pro League,2019,Summer,7
369,Top Esports,Tencent LoL Pro League,2020,Spring,13
369,Top Esports,Tencent LoL Pro League,2020,Summer,8
369,Top Esports,Tencent LoL Pro League,2021,Spring,12
369,Top Esports,Tencent LoL Pro League,2021,Summer,4
369,Top Esports,Tencent LoL Pro League,2024,Spring,16
369,Top Esports,Tencent LoL Pro League,2024,Summer,16
369,Topsports Gaming,Tencent LoL Pro League,2019,Spring,6
957,Team WE,Tencent LoL Pro League,2016,Spring,12
957,Team WE,Tencent LoL Pro League,2016,Summer,13
957,Team WE,Tencent LoL Pro League,2017,Spring,7
957,Team WE,Tencent LoL Pro League,2017,Summer,13
957,Team WE,Tencent LoL Pro League,2018,Spring,2
Able,Oh My God,Tencent LoL Pro League,2021,Summer,3
Able,Oh My God,Tencent LoL Pro League,2022,Summer,5
Able,Oh My God,Tencent LoL Pro League,2023,Spring,18
Able,Oh My God,Tencent LoL Pro League,2023,Summer,5
Able,Oh My God,Tencent LoL Pro League,2024,Spring,4
Able,Royal Never Give Up,Tencent LoL Pro League,2018,Summer,3
Acorn,LGD Gaming,Tencent LoL Pro League,2015,Spring,9
Acorn,LGD Gaming,Tencent LoL Pro League,2015,Summer,15
ADD,Bilibili Gaming,Tencent LoL Pro League,2019,Summer,12
ADD,MVP,LoL Champions Korea,2017,Spring,5
Ahn (An Shan-Ye),Invictus Gaming,Tencent LoL Pro League,2024,Spring,5
Ahn (An Shan-Ye),Invictus Gaming,Tencent LoL Pro League,2024,Summer,5
Aiming,Afreeca Freecs,LoL Champions Korea,2019,Summer,3
Aiming,Bilibili Gaming,Tencent LoL Pro League,2021,Summer,3
Aiming,Dplus Kia,LoL Champions Korea,2024,Spring,13
Aiming,Dplus Kia,LoL Champions Korea,2024,Summer,11
Aiming,KT Rolster,LoL Champions Korea,2020,Spring,3
Aiming,KT Rolster,LoL Champions Korea,2022,Summer,5
Aiming,KT Rolster,LoL Champions Korea,2023,Spring,17
Aiming,KT Rolster,LoL Champions Korea,2023,Summer,13
Aki (Mao An),Ninjas in Pyjamas.CN,Tencent LoL Pro League,2024,Spring,18
Aki (Mao An),Oh My God,Tencent LoL Pro League,2021,Summer,3
Aki (Mao An),Oh My God,Tencent LoL Pro League,2022,Summer,5
Aki (Mao An),Oh My God,Tencent LoL Pro League,2023,Spring,18
Aki (Mao An),Oh My God,Tencent LoL Pro League,2023,Summer,5
Ale,Anyone's Legend,Tencent LoL Pro League,2024,Summer,8
Ale,EDward Gaming,Tencent LoL Pro League,2023,Spring,12
Ale,EDward Gaming,Tencent LoL Pro League,2023,Summer,14
Ale,LNG Esports,Tencent LoL Pro League,2021,Summer,20
Ale,LNG Esports,Tencent LoL Pro League,2022,Spring,3
Ale,LNG Esports,Tencent LoL Pro League,2022,Summer,20
Alex (Chen Yu-Ming),FunPlus Phoenix,Tencent LoL Pro League,2018,Summer,3
Alone (Wang Zi-Jun),QG Reapers,Tencent LoL Pro League,2017,Spring,4
Aluka,Team WE,Tencent LoL Pro League,2015,Spring,5
AmazingJ,Bilibili Gaming,Tencent LoL Pro League,2018,Spring,7
AmazingJ,I May,Tencent LoL Pro League,2016,Summer,15
AmazingJ,I May,Tencent LoL Pro League,2017,Spring,9
Ambition,Gen.G,LoL Champions Korea,2018,Summer,2
Ambition,KSV eSports,LoL Champions Korea,2018,Spring,3
Ambition,Samsung Galaxy,LoL Champions Korea,2016,Summer,5
Ambition,Samsung Galaxy,LoL Champions Korea,2017,Spring,1
Ambition,Samsung Galaxy,LoL Champions Korea,2017,Summer,1
Angel (Xiang Tao),Ninjas in Pyjamas.CN,Tencent LoL Pro League,2023,Summer,8
Angel (Xiang Tao),Oh My God,Tencent LoL Pro League,2024,Spring,4
Angel (Xiang Tao),Oh My God,Tencent LoL Pro League,2024,Summer,3
Angel (Xiang Tao),Royal Never Give Up,Tencent LoL Pro League,2023,Spring,8
Angel (Xiang Tao),Suning,Tencent LoL Pro League,2018,Summer,4
Angel (Xiang Tao),Suning,Tencent LoL Pro League,2019,Summer,4
Angel (Xiang Tao),Suning,Tencent LoL Pro League,2020,Summer,10
Angel (Xiang Tao),Suning,Tencent LoL Pro League,2021,Spring,10
Angel (Xiang Tao),Suning,Tencent LoL Pro League,2021,Summer,5
Angel (Xiang Tao),Weibo Gaming,Tencent LoL Pro League,2022,Spring,9
Angel (Xiang Tao),Weibo Gaming,Tencent LoL Pro League,2022,Summer,4
Aodi,EDward Gaming,Tencent LoL Pro League,2020,Spring,8
Arrow,KT Rolster,LoL Champions Korea,2016,Spring,3
Arrow,KT Rolster,LoL Champions Korea,2016,Summer,13
Arthur (Park Mi-reu),Hanwha Life Esports,LoL Champions Korea,2021,Spring,3
Assassin,Team King,Tencent LoL Pro League,2015,Spring,5
Assum,Rare Atom,Tencent LoL Pro League,2024,Summer,3
Asura (Lu Qi),LNG Esports,Tencent LoL Pro League,2019,Summer,7
Athena,I May,Tencent LoL Pro League,2016,Summer,10
Athena,I May,Tencent LoL Pro League,2017,Spring,9
Avoidless,I May,Tencent LoL Pro League,2016,Summer,15
BaeMe,I May,Tencent LoL Pro League,2016,Summer,5
BAKA (Lu Fan),Snake Esports,Tencent LoL Pro League,2015,Spring,12
Bang,SK Telecom T1,LoL Champions Korea,2016,Spring,11
Bang,SK Telecom T1,LoL Champions Korea,2016,Summer,5
Bang,SK Telecom T1,LoL Champions Korea,2017,Spring,3
Bang,SK Telecom T1,LoL Champions Korea,2017,Summer,14
Bang,SK Telecom T1,LoL Champions Korea,2018,Spring,7
BAO (Jeong Hyeon-woo),DRX,LoL Champions Korea,2021,Spring,4
Baolan,Invictus Gaming,Tencent LoL Pro League,2016,Summer,2
Baolan,Invictus Gaming,Tencent LoL Pro League,2018,Spring,9
Baolan,Invictus Gaming,Tencent LoL Pro League,2018,Summer,10
Baolan,Invictus Gaming,Tencent LoL Pro League,2019,Spring,7
Baolan,Invictus Gaming,Tencent LoL Pro League,2019,Summer,3
Baolan,Invictus Gaming,Tencent LoL Pro League,2020,Summer,3
Bay,Nongshim RedForce,LoL Champions Korea,2021,Spring,5
Bdd,Gen.G,LoL Champions Korea,2020,Spring,3
Bdd,Gen.G,LoL Champions Korea,2020,Summer,8
Bdd,Gen.G,LoL Champions Korea,2021,Spring,6
Bdd,Gen.G,LoL Champions Korea,2021,Summer,4
Bdd,Kingzone DragonX,LoL Champions Korea,2018,Spring,4
Bdd,Kingzone DragonX,LoL Champions Korea,2018,Summer,4
Bdd,KT Rolster,LoL Champions Korea,2023,Spring,17
Bdd,KT Rolster,LoL Champions Korea,2023,Summer,13
Bdd,KT Rolster,LoL Champions Korea,2024,Spring,5
Bdd,KT Rolster,LoL Champions Korea,2024,Summer,4
Bdd,Longzhu Gaming,LoL Champions Korea,2017,Summer,4
Beast (Kim Joo-hyun),Snake Esports,Tencent LoL Pro League,2015,Spring,12
Beast (Kim Joo-hyun),Snake Esports,Tencent LoL Pro League,2015,Summer,4
Becca (Son Min-woo),DRX,LoL Champions Korea,2021,Spring,4
Beichuan,ThunderTalk Gaming,Tencent LoL Pro League,2023,Spring,4
Beichuan,ThunderTalk Gaming,Tencent LoL Pro League,2024,Summer,8
beishang,Team WE,Tencent LoL Pro League,2019,Spring,4
beishang,Team WE,Tencent LoL Pro League,2020,Spring,8
beishang,Team WE,Tencent LoL Pro League,2020,Summer,4
beishang,Team WE,Tencent LoL Pro League,2021,Spring,3
beishang,Team WE,Tencent LoL Pro League,2021,Summer,22
Ben,Afreeca Freecs,LoL Champions Korea,2020,Summer,6
Ben,Team WE,Tencent LoL Pro League,2017,Spring,7
Ben,Team WE,Tencent LoL Pro League,2017,Summer,13
Ben,Top Esports,Tencent LoL Pro League,2019,Summer,5
Ben,Topsports Gaming,Tencent LoL Pro League,2019,Spring,11
Ben4,I May,Tencent LoL Pro League,2017,Spring,9
BeryL,DAMWON Gaming,LoL Champions Korea,2019,Spring,5
BeryL,DAMWON Gaming,LoL Champions Korea,2019,Summer,3
BeryL,DAMWON Gaming,LoL Champions Korea,2020,Spring,8
BeryL,DAMWON Gaming,LoL Champions Korea,2020,Summer,3
BeryL,DRX,LoL Champions Korea,2022,Spring,5
BeryL,DRX,LoL Champions Korea,2022,Summer,4
BeryL,DRX,LoL Champions Korea,2023,Summer,3
BeryL,DWG KIA,LoL Champions Korea,2021,Spring,6
BeryL,DWG KIA,LoL Champions Korea,2021,Summer,7
BeryL,KT Rolster,LoL Champions Korea,2024,Spring,5
BeryL,KT Rolster,LoL Champions Korea,2024,Summer,4
Betty,Royal Never Give Up,Tencent LoL Pro League,2020,Spring,4
Beyond (Kim Kyu-seok),MVP,LoL Champions Korea,2017,Spring,5
Bin (Chen Ze-Bin),Bilibili Gaming,Tencent LoL Pro League,2022,Summer,4
Bin (Chen Ze-Bin),Bilibili Gaming,Tencent LoL Pro League,2023,Spring,26
Bin (Chen Ze-Bin),Bilibili Gaming,Tencent LoL Pro League,2023,Summer,11
Bin (Chen Ze-Bin),Bilibili Gaming,Tencent LoL Pro League,2024,Spring,13
Bin (Chen Ze-Bin),Bilibili Gaming,Tencent LoL Pro League,2024,Summer,10
Bin (Chen Ze-Bin),Royal Never Give Up,Tencent LoL Pro League,2022,Spring,14
Bin (Chen Ze-Bin),Suning,Tencent LoL Pro League,2020,Summer,10
Bin (Chen Ze-Bin),Suning,Tencent LoL Pro League,2021,Spring,10
Bin (Chen Ze-Bin),Suning,Tencent LoL Pro League,2021,Summer,5
Biubiu,Bilibili Gaming,Tencent LoL Pro League,2021,Summer,3
Biubiu,Team WE,Tencent LoL Pro League,2023,Spring,4
