PlayerLink,Team,League,Year,Split,Games
0909,EDward Gaming,Tencent LoL Pro League,2024,Spring,5
0909,Oh My God,Tencent LoL Pro League,2022,Summer,3
1ntruder,LGD Gaming,Tencent LoL Pro League,2016,Summer,12
1ntruder,LGD Gaming,Tencent LoL Pro League,2018,Spring,18
1xn,ThunderTalk Gaming,Tencent LoL Pro League,2023,Summer,35
1xn,ThunderTalk Gaming,Tencent LoL Pro League,2024,Spring,37
1xn,ThunderTalk Gaming,Tencent LoL Pro League,2024,Summer,15
1xn,ThunderTalk Gaming,Tencent LoL Pro League,2024,Summer Placements,14
369,JD Gaming,Tencent LoL Pro League,2022,Spring,38
369,JD Gaming,Tencent LoL Pro League,2022,Summer,42
369,JD Gaming,Tencent LoL Pro League,2023,Spring,36
369,JD Gaming,Tencent LoL Pro League,2023,Summer,36
369,Top Esports,Tencent LoL Pro League,2019,Summer,31
369,Top Esports,Tencent LoL Pro League,2020,Spring,37
369,Top Esports,Tencent LoL Pro League,2020,Summer,37
369,Top Esports,Tencent LoL Pro League,2021,Spring,35
369,Top Esports,Tencent LoL Pro League,2021,Summer,10
369,Top Esports,Tencent LoL Pro League,2024,Spring,37
369,Top Esports,Tencent LoL Pro League,2024,Summer,17
369,Top Esports,Tencent LoL Pro League,2024,Summer Placements,13
369,Topsports Gaming,Tencent LoL Pro League,2019,Spring,33
5kid,KT Rolster,LoL Champions Korea,2021,Summer,15
694,Team WE,Tencent LoL Pro League,2018,Summer,13
705,JD Gaming,Tencent LoL Pro League,2020,Spring,20
705,Royal Never Give Up,Tencent LoL Pro League,2020,Summer,1
8917,Rogue Warriors,Tencent LoL Pro League,2021,Summer,15
957,Team WE,Tencent LoL Pro League,2016,Spring,39
957,Team WE,Tencent LoL Pro League,2016,Summer,42
957,Team WE,Tencent LoL Pro League,2017,Spring,37
957,Team WE,Tencent LoL Pro League,2017,Summer,40
957,Team WE,Tencent LoL Pro League,2018,Spring,49
957,Team WE,Tencent LoL Pro League,2018,Summer,48
957,Team WE,Tencent LoL Pro League,2019,Summer,1
Able,Oh My God,Tencent LoL Pro League,2021,Summer,37
Able,Oh My God,Tencent LoL Pro League,2022,Spring,41
Able,Oh My God,Tencent LoL Pro League,2022,Summer,43
Able,Oh My God,Tencent LoL Pro League,2023,Spring,42
Able,Oh My God,Tencent LoL Pro League,2023,Summer,40
Able,Oh My God,Tencent LoL Pro League,2024,Spring,30
Able,Royal Never Give Up,Tencent LoL Pro League,2018,Spring,10
Able,Royal Never Give Up,Tencent LoL Pro League,2018,Summer,11
Able,Team WE,Tencent LoL Pro League,2024,Summer,15
Able,Team WE,Tencent LoL Pro League,2024,Summer Placements,3
Acorn,LGD Gaming,Tencent LoL Pro League,2015,Spring,28
Acorn,LGD Gaming,Tencent LoL Pro League,2015,Summer,27
Acorn,LGD Gaming,Tencent LoL Pro League,2016,Spring,1
Acorn,Saint Gaming,Tencent LoL Pro League,2016,Summer,39
ADD,Bilibili Gaming,Tencent LoL Pro League,2019,Spring,37
ADD,Bilibili Gaming,Tencent LoL Pro League,2019,Summer,35
ADD,Bilibili Gaming,Tencent LoL Pro League,2020,Spring,8
ADD,Bilibili Gaming,Tencent LoL Pro League,2020,Summer,8
ADD,MVP,LoL Champions Korea,2016,Summer,41
ADD,MVP,LoL Champions Korea,2017,Spring,45
ADD,MVP,LoL Champions Korea,2017,Summer,42
ADD,MVP,LoL Champions Korea,2018,Spring,40
ADD,MVP,LoL Champions Korea,2018,Summer,36
Again,Royal Never Give Up,Tencent LoL Pro League,2017,Spring,5
Ahn,Invictus Gaming,Tencent LoL Pro League,2022,Spring,2
Ahn,Invictus Gaming,Tencent LoL Pro League,2024,Spring,4
Ahn (An Shan-Ye),Invictus Gaming,Tencent LoL Pro League,2022,Spring,10
Ahn (An Shan-Ye),Invictus Gaming,Tencent LoL Pro League,2022,Summer,29
Ahn (An Shan-Ye),Invictus Gaming,Tencent LoL Pro League,2023,Spring,36
Ahn (An Shan-Ye),Invictus Gaming,Tencent LoL Pro League,2023,Summer,34
Ahn (An Shan-Ye),Invictus Gaming,Tencent LoL Pro League,2024,Spring,32
Ahn (An Shan-Ye),Invictus Gaming,Tencent LoL Pro League,2024,Summer,16
Ahn (An Shan-Ye),Invictus Gaming,Tencent LoL Pro League,2024,Summer Placements,19
Aiming,Afreeca Freecs,LoL Champions Korea,2018,Spring,7
Aiming,Afreeca Freecs,LoL Champions Korea,2018,Summer,35
Aiming,Afreeca Freecs,LoL Champions Korea,2019,Spring,29
Aiming,Afreeca Freecs,LoL Champions Korea,2019,Summer,46
Aiming,Bilibili Gaming,Tencent LoL Pro League,2021,Spring,38
Aiming,Bilibili Gaming,Tencent LoL Pro League,2021,Summer,41
Aiming,Dplus Kia,LoL Champions Korea,2024,Spring,42
Aiming,Dplus Kia,LoL Champions Korea,2024,Summer,45
Aiming,KT Rolster,LoL Champions Korea,2020,Spring,46
Aiming,KT Rolster,LoL Champions Korea,2020,Summer,43
Aiming,KT Rolster,LoL Champions Korea,2022,Spring,43
Aiming,KT Rolster,LoL Champions Korea,2022,Summer,45
Aiming,KT Rolster,LoL Champions Korea,2023,Spring,43
Aiming,KT Rolster,LoL Champions Korea,2023,Summer,40
Aitong,Dominus Esports,Tencent LoL Pro League,2019,Summer,10
Aix,Rare Atom,Tencent LoL Pro League,2021,Spring,4
Aix,Vici Gaming,Tencent LoL Pro League,2019,Spring,40
Aix,Vici Gaming,Tencent LoL Pro League,2019,Summer,23
Aix,Vici Gaming,Tencent LoL Pro League,2020,Spring,31
Aix,Vici Gaming,Tencent LoL Pro League,2020,Summer,19
Aki (Mao An),Ninjas in Pyjamas.CN,Tencent LoL Pro League,2024,Spring,36
Aki (Mao An),Ninjas in Pyjamas.CN,Tencent LoL Pro League,2024,Summer,16
Aki (Mao An),Ninjas in Pyjamas.CN,Tencent LoL Pro League,2024,Summer Placements,19
Aki (Mao An),Oh My God,Tencent LoL Pro League,2021,Spring,39
Aki (Mao An),Oh My God,Tencent LoL Pro League,2021,Summer,37
Aki (Mao An),Oh My God,Tencent LoL Pro League,2022,Spring,41
Aki (Mao An),Oh My God,Tencent LoL Pro League,2022,Summer,43
Aki (Mao An),Oh My God,Tencent LoL Pro League,2023,Spring,42
Aki (Mao An),Oh My God,Tencent LoL Pro League,2023,Summer,40
AKi (Mao An),Top Esports,Tencent LoL Pro League,2019,Summer,6
Ale,Anyone's Legend,Tencent LoL Pro League,2024,Summer,19
Ale,Anyone's Legend,Tencent LoL Pro League,2024,Summer Placements,18
Ale,EDward Gaming,Tencent LoL Pro League,2023,Spring,39
