OverviewPage,League,Year,Split,SplitNumber,DateStart,Region,Level,IsPlayoffs,IsOfficial,DateStart__precision,stage
LPL/2015 Season/Spring Season,Tencent LoL Pro League,2015,Spring,1,2015-01-16,China,Primary,0,1,1,regular
LPL/2015 Season/Spring Playoffs,Tencent LoL Pro League,2015,Spring,1,2015-04-14,China,Primary,1,1,1,playoffs
LPL/2015 Season/Summer Season,Tencent LoL Pro League,2015,Summer,2,2015-05-22,China,Primary,0,1,1,regular
LPL/2015 Season/Summer Playoffs,Tencent LoL Pro League,2015,Summer,2,2015-08-11,China,Primary,1,1,1,playoffs
LCK/2016 Season/Spring Season,LoL Champions Korea,2016,Spring,1,2016-01-13,Korea,Primary,0,1,1,regular
LPL/2016 Season/Spring Season,Tencent LoL Pro League,2016,Spring,1,2016-01-14,China,Primary,0,1,1,regular
LCK/2016 Season/Spring Playoffs,LoL Champions Korea,2016,Spring,1,2016-04-13,Korea,Primary,1,1,1,playoffs
LPL/2016 Season/Spring Playoffs,Tencent LoL Pro League,2016,Spring,1,2016-04-13,China,Primary,1,1,1,playoffs
LCK/2016 Season/Summer Season,LoL Champions Korea,2016,Summer,2,2016-05-25,Korea,Primary,0,1,1,regular
LPL/2016 Season/Summer Season,Tencent LoL Pro League,2016,Summer,2,2016-05-26,China,Primary,0,1,1,regular
LCK/2016 Season/Summer Playoffs,LoL Champions Korea,2016,Summer,2,2016-08-08,Korea,Primary,1,1,1,playoffs
LPL/2016 Season/Summer Playoffs,Tencent LoL Pro League,2016,Summer,2,2016-08-10,China,Primary,1,1,1,playoffs
LCK/2017 Season/Spring Season,LoL Champions Korea,2017,Spring,1,2017-01-17,Korea,Primary,0,1,1,regular
LPL/2017 Season/Spring Season,Tencent LoL Pro League,2017,Spring,1,2017-01-19,China,Primary,0,1,1,regular
LCK/2017 Season/Spring Playoffs,LoL Champions Korea,2017,Spring,1,2017-04-07,Korea,Primary,1,1,1,playoffs
LPL/2017 Season/Spring Playoffs,Tencent LoL Pro League,2017,Spring,1,2017-04-18,China,Primary,1,1,1,playoffs
LCK/2017 Season/Summer Season,LoL Champions Korea,2017,Summer,2,2017-05-30,Korea,Primary,0,1,1,regular
LPL/2017 Season/Summer Season,Tencent LoL Pro League,2017,Summer,2,2017-06-08,China,Primary,0,1,1,regular
LCK/2017 Season/Summer Playoffs,LoL Champions Korea,2017,Summer,2,2017-08-12,Korea,Primary,1,1,1,playoffs
LPL/2017 Season/Summer Playoffs,Tencent LoL Pro League,2017,Summer,2,2017-08-22,China,Primary,1,1,1,playoffs
LPL/2018 Season/Spring Season,Tencent LoL Pro League,2018,Spring,1,2018-01-15,China,Primary,0,1,1,regular
LCK/2018 Season/Spring Season,LoL Champions Korea,2018,Spring,1,2018-01-16,Korea,Primary,0,1,1,regular
LCK/2018 Season/Spring Playoffs,LoL Champions Korea,2018,Spring,1,2018-03-31,Korea,Primary,1,1,1,playoffs
LPL/2018 Season/Spring Playoffs,Tencent LoL Pro League,2018,Spring,1,2018-04-12,China,Primary,1,1,1,playoffs
LPL/2018 Season/Summer Season,Tencent LoL Pro League,2018,Summer,2,2018-06-11,China,Primary,0,1,1,regular
LCK/2018 Season/Summer Season,LoL Champions Korea,2018,Summer,2,2018-06-12,Korea,Primary,0,1,1,regular
LCK/2018 Season/Summer Playoffs,LoL Champions Korea,2018,Summer,2,2018-08-12,Korea,Primary,1,1,1,playoffs
LPL/2018 Season/Summer Playoffs,Tencent LoL Pro League,2018,Summer,2,2018-09-05,China,Primary,1,1,1,playoffs
LPL/2019 Season/Spring Season,Tencent LoL Pro League,2019,Spring,1,2019-01-14,China,Primary,0,1,1,regular
LCK/2019 Season/Spring Season,LoL Champions Korea,2019,Spring,1,2019-01-16,Korea,Primary,0,1,1,regular
LCK/2019 Season/Spring Playoffs,LoL Champions Korea,2019,Spring,1,2019-04-03,Korea,Primary,1,1,1,playoffs
LPL/2019 Season/Spring Playoffs,Tencent LoL Pro League,2019,Spring,1,2019-04-04,China,Primary,1,1,1,playoffs
LPL/2019 Season/Summer Season,Tencent LoL Pro League,2019,Summer,2,2019-06-01,China,Primary,0,1,1,regular
LCK/2019 Season/Summer Season,LoL Champions Korea,2019,Summer,2,2019-06-05,Korea,Primary,0,1,1,regular
LCK/2019 Season/Summer Playoffs,LoL Champions Korea,2019,Summer,2,2019-08-21,Korea,Primary,1,1,1,playoffs
LPL/2019 Season/Summer Playoffs,Tencent LoL Pro League,2019,Summer,2,2019-08-22,China,Primary,1,1,1,playoffs
LPL/2020 Season/Spring Season,Tencent LoL Pro League,2020,Spring,1,2020-01-13,China,Primary,0,1,1,regular
LCK/2020 Season/Spring Season,LoL Champions Korea,2020,Spring,1,2020-02-05,Korea,Primary,0,1,1,regular
LCK/2020 Season/Spring Playoffs,LoL Champions Korea,2020,Spring,1,2020-04-18,Korea,Primary,1,1,1,playoffs
LPL/2020 Season/Spring Playoffs,Tencent LoL Pro League,2020,Spring,1,2020-04-22,China,Primary,1,1,1,playoffs
LPL/2020 Season/Summer Season,Tencent LoL Pro League,2020,Summer,2,2020-06-05,China,Primary,0,1,1,regular
