League,Year,first_entrants,known_dob,u22_known,lower,upper,width
Tencent LoL Pro League,2018,27,25,20,0.7407407407407407,0.8148148148148148,0.07407407407407407
Tencent LoL Pro League,2019,26,24,15,0.5769230769230769,0.6538461538461539,0.07692307692307698
Tencent LoL Pro League,2020,30,23,18,0.6,0.8333333333333334,0.2333333333333334
Tencent LoL Pro League,2021,24,22,17,0.7083333333333334,0.7916666666666666,0.08333333333333326
Tencent LoL Pro League,2022,11,8,6,0.5454545454545454,0.8181818181818182,0.2727272727272728
Tencent LoL Pro League,2023,16,12,5,0.3125,0.5625,0.25
Tencent LoL Pro League,2024,27,21,13,0.48148148148148145,0.7037037037037037,0.22222222222222227
LoL Champions Korea,2018,11,11,10,0.9090909090909091,0.9090909090909091,0.0
LoL Champions Korea,2019,18,18,13,0.7222222222222222,0.7222222222222222,0.0
LoL Champions Korea,2020,9,8,5,0.5555555555555556,0.6666666666666666,0.11111111111111105
LoL Champions Korea,2021,19,17,16,0.8421052631578947,0.9473684210526315,0.10526315789473684
LoL Champions Korea,2022,11,10,6,0.5454545454545454,0.6363636363636364,0.09090909090909094
LoL Champions Korea,2023,6,5,4,0.6666666666666666,0.8333333333333334,0.16666666666666674
LoL Champions Korea,2024,10,10,6,0.6,0.6,0.0
