League,FromYear,ToYear,Transition,Elite_N_t,Elite_N_t1,Retained_N,Union_N,Jaccard,Retention
LCK,2018,2019,2018-2019,34,33,13,54,0.24074074074074073,0.38235294117647056
LCK,2019,2020,2019-2020,33,32,18,47,0.3829787234042553,0.5454545454545454
LCK,2020,2021,2020-2021,32,44,21,55,0.38181818181818183,0.65625
LCK,2021,2022,2021-2022,44,42,25,61,0.4098360655737705,0.5681818181818182
LCK,2022,2023,2022-2023,42,36,27,51,0.5294117647058824,0.6428571428571429
LCK,2023,2024,2023-2024,36,36,24,48,0.5,0.6666666666666666
LPL,2018,2019,2018-2019,63,63,38,88,0.4318181818181818,0.6031746031746031
LPL,2019,2020,2019-2020,63,61,32,92,0.34782608695652173,0.5079365079365079
LPL,2020,2021,2020-2021,61,62,35,88,0.3977272727272727,0.5737704918032787
LPL,2021,2022,2021-2022,62,61,46,77,0.5974025974025974,0.7419354838709677
LPL,2022,2023,2022-2023,61,60,41,80,0.5125,0.6721311475409836
LPL,2023,2024,2023-2024,60,78,44,94,0.46808510638297873,0.7333333333333333
