League,Year,Elite_N,KnownDOB_N,DOB_Coverage,Mean_Elite_Age,Median_Elite_Age,Min_Elite_Age,Max_Elite_Age
LCK,2018,34,34,1.0,21.558823529411764,22.0,17,26
LCK,2019,33,33,1.0,20.87878787878788,20.0,18,28
LCK,2020,32,32,1.0,21.71875,21.0,17,26
LCK,2021,44,44,1.0,21.522727272727273,21.0,18,26
LCK,2022,42,42,1.0,22.0,22.0,18,26
LCK,2023,36,36,1.0,22.36111111111111,23.0,18,27
LCK,2024,36,36,1.0,22.944444444444443,23.0,19,28
LPL,2018,63,63,1.0,20.873015873015873,21.0,18,25
LPL,2019,63,63,1.0,21.22222222222222,21.0,17,26
LPL,2020,61,61,1.0,21.18032786885246,21.0,17,25
LPL,2021,62,62,1.0,21.258064516129032,21.0,18,25
LPL,2022,61,61,1.0,22.131147540983605,22.0,18,26
LPL,2023,60,60,1.0,22.716666666666665,22.5,19,27
LPL,2024,78,78,1.0,22.807692307692307,23.0,18,27
