League,Year,TrueDebut_N,KnownDOB_N,DOB_Coverage,Mean_TrueDebut_Age,Median_TrueDebut_Age,Min_TrueDebut_Age,Max_TrueDebut_Age
LCK,2018,9,9,1.0,19.444444444444443,19.0,17.0,25.0
LCK,2019,12,12,1.0,20.583333333333332,20.0,18.0,28.0
LCK,2020,4,4,1.0,18.75,19.0,17.0,20.0
LCK,2021,8,8,1.0,19.875,19.5,18.0,22.0
LCK,2022,2,2,1.0,18.5,18.5,18.0,19.0
LCK,2023,3,3,1.0,18.0,18.0,18.0,18.0
LCK,2024,4,4,1.0,20.5,20.5,19.0,22.0
LPL,2018,16,16,1.0,19.9375,20.0,18.0,23.0
LPL,2019,15,15,1.0,20.066666666666666,20.0,17.0,23.0
LPL,2020,13,13,1.0,19.846153846153847,20.0,17.0,23.0
LPL,2021,6,6,1.0,19.333333333333332,19.5,18.0,21.0
LPL,2022,5,5,1.0,20.0,20.0,18.0,22.0
LPL,2023,4,4,1.0,21.25,21.5,19.0,23.0
LPL,2024,6,6,1.0,20.0,20.0,18.0,23.0
