League,Year,CanonicalPlayer,EntryType,PriorCurrentLeagueTopTier,PriorOtherLeagueTopTier,SameYearOtherLeagueTopTier,FirstCurrentLeagueTopTierYear,FirstOtherLeagueTopTierYear,PriorCurrentLeagueYears,PriorOtherLeagueYears,CurrentID,PlayerPage,Birthdate,birth_year,Country,Nationality,Residency,EntryAge,KnownDOB,U22_Known,DOBConflict
LoL Champions Korea,2018,Kiin,EstablishedDomestic,True,False,False,2017,,2017,,Kiin,Kiin,1999-05-28,1999.0,South Korea,,Korea,19.0,True,True,False
LoL Champions Korea,2018,Mowgli,EstablishedDomestic,True,False,False,2017,,2017,,Mowgli,Mowgli,1998-04-14,1998.0,South Korea,,Korea,20.0,True,True,False
LoL Champions Korea,2018,Chovy,TrueDebut,False,False,False,2018,,,,Chovy,Chovy,2001-03-03,2001.0,South Korea,,Korea,17.0,True,True,False
LoL Champions Korea,2018,Effort,TrueDebut,False,False,False,2018,,,,Effort,Effort,2000-11-23,2000.0,South Korea,,Korea,18.0,True,True,False
LoL Champions Korea,2018,Lehends,TrueDebut,False,False,False,2018,,,,Lehends,Lehends,1998-12-24,1998.0,South Korea,,Korea,20.0,True,True,False
LoL Champions Korea,2018,Rush,TrueDebut,False,False,False,2018,,,,Rush,Rush,1993-04-06,1993.0,South Korea,,Korea,25.0,True,False,False
LoL Champions Korea,2018,Sw0rd,TrueDebut,False,False,False,2018,,,,Sw0rd,Sw0rd,1997-06-16,1997.0,South Korea,,Korea,21.0,True,True,False
LoL Champions Korea,2018,Tarzan (Lee Seung-yong),TrueDebut,False,False,False,2018,2021,,,Tarzan,Tarzan (Lee Seung-yong),1999-08-23,1999.0,South Korea,,Korea,19.0,True,True,False
LoL Champions Korea,2018,Thal,TrueDebut,False,False,False,2018,,,,Thal,Thal,1998-11-13,1998.0,South Korea,,Korea,20.0,True,True,False
LoL Champions Korea,2018,Ucal,TrueDebut,False,False,False,2018,2022,,,Ucal,Ucal,2001-01-30,2001.0,South Korea,,Korea,17.0,True,True,False
LoL Champions Korea,2018,Viper (Park Do-hyeon),TrueDebut,False,False,False,2018,2021,,,Viper,Viper (Park Do-hyeon),2000-10-19,2000.0,South Korea,,Korea,18.0,True,True,False
LoL Champions Korea,2019,Clid,CrossRegionImport,False,True,False,2019,2017,,2017;2018,Clid,Clid,1999-07-07,1999.0,South Korea,,Korea,20.0,True,True,False
LoL Champions Korea,2019,Aiming,EstablishedDomestic,True,False,False,2018,2021,2018,,Aiming,Aiming,2000-07-20,2000.0,South Korea,,Korea,19.0,True,True,False
LoL Champions Korea,2019,Ghost (Jang Yong-jun),EstablishedDomestic,True,False,False,2016,,2016;2017;2018,,Ghost,Ghost (Jang Yong-jun),1999-03-18,1999.0,South Korea,,Korea,20.0,True,True,False
LoL Champions Korea,2019,Nuclear,EstablishedDomestic,True,False,False,2016,,2016,,Nuclear,Nuclear,1997-05-19,1997.0,South Korea,,Korea,22.0,True,False,False
