CanonicalPlayer,League,FirstTopTierYear,LastTopTierYear,TopTierYears
0909,Tencent LoL Pro League,2022,2024,2022;2024
1ntruder,Tencent LoL Pro League,2016,2018,2016;2017;2018
1xn,Tencent LoL Pro League,2023,2024,2023;2024
369,Tencent LoL Pro League,2019,2024,2019;2020;2021;2022;2023;2024
5kid,LoL Champions Korea,2021,2021,2021
694,Tencent LoL Pro League,2018,2018,2018
705,Tencent LoL Pro League,2020,2020,2020
957,Tencent LoL Pro League,2016,2019,2016;2017;2018;2019
ADD,LoL Champions Korea,2016,2018,2016;2017;2018
ADD,Tencent LoL Pro League,2019,2020,2019;2020
Able,Tencent LoL Pro League,2018,2024,2018;2021;2022;2023;2024
Acorn,Tencent LoL Pro League,2015,2016,2015;2016
Ahn,Tencent LoL Pro League,2022,2024,2022;2023;2024
Aiming,LoL Champions Korea,2018,2024,2018;2019;2020;2022;2023;2024
Aiming,Tencent LoL Pro League,2021,2021,2021
Aix,Tencent LoL Pro League,2019,2021,2019;2020;2021
Aki (Mao An),Tencent LoL Pro League,2019,2024,2019;2021;2022;2023;2024
Akira (Wang Zu-Jing),Tencent LoL Pro League,2015,2015,2015
Ale,Tencent LoL Pro League,2019,2024,2019;2020;2021;2022;2023;2024
Alex (Chen Yu-Ming),Tencent LoL Pro League,2018,2018,2018
Ali (Liu Xu-Dong),Tencent LoL Pro League,2017,2017,2017
Alielie,Tencent LoL Pro League,2021,2021,2021
Aliez (Huang Hao),Tencent LoL Pro League,2019,2022,2019;2020;2021;2022
Alone (Wang Zi-Jun),Tencent LoL Pro League,2017,2017,2017
Alphamong,LoL Champions Korea,2018,2018,2018
Aluka,Tencent LoL Pro League,2015,2015,2015
AmazingJ,Tencent LoL Pro League,2015,2019,2015;2016;2017;2018;2019
Ambition,LoL Champions Korea,2016,2018,2016;2017;2018
Andil,LoL Champions Korea,2023,2024,2023;2024
Andy (Zhang Jie),Tencent LoL Pro League,2019,2019,2019
Angel (Xiang Tao),Tencent LoL Pro League,2018,2024,2018;2019;2020;2021;2022;2023;2024
Aodi,Tencent LoL Pro League,2017,2021,2017;2018;2020;2021
Aqiu,Tencent LoL Pro League,2017,2017,2017
Aria (Lee Ga-eul),LoL Champions Korea,2022,2022,2022
Arise,Tencent LoL Pro League,2019,2019,2019
Arrow,LoL Champions Korea,2016,2016,2016
As6,Tencent LoL Pro League,2020,2020,2020
Asper,LoL Champions Korea,2018,2018,2018
Assum,Tencent LoL Pro League,2022,2024,2022;2023;2024
Asura (Lu Qi),Tencent LoL Pro League,2019,2020,2019;2020
Athena,Tencent LoL Pro League,2016,2018,2016;2017;2018
Avenger0,Tencent LoL Pro League,2015,2015,2015
Avoidless,Tencent LoL Pro League,2016,2017,2016;2017
Awei (Zhao A-Wei),Tencent LoL Pro League,2017,2017,2017
BAO (Jeong Hyeon-woo),LoL Champions Korea,2021,2021,2021
Babi9,Tencent LoL Pro League,2017,2019,2017;2019
Bademan,Tencent LoL Pro League,2019,2019,2019
BaeMe,Tencent LoL Pro League,2015,2016,2015;2016
Bang,LoL Champions Korea,2016,2021,2016;2017;2018;2021
Banks,Tencent LoL Pro League,2017,2017,2017
Baolan,Tencent LoL Pro League,2016,2023,2016;2017;2018;2019;2020;2021;2023
Baut,LoL Champions Korea,2022,2022,2022
Bay,LoL Champions Korea,2021,2021,2021
Baybay,Tencent LoL Pro League,2017,2017,2017
Bdd,LoL Champions Korea,2016,2024,2016;2017;2018;2019;2020;2021;2022;2023;2024
