PlayerLink,Team,League,Year,Split,Games,CanonicalPlayer,SourceFile
Assassin,Team King,Tencent LoL Pro League,2015,Spring,5,,playoffs_appearances.csv
beishang,Team WE,Tencent LoL Pro League,2019,Spring,4,,playoffs_appearances.csv
beishang,Team WE,Tencent LoL Pro League,2020,Spring,8,,playoffs_appearances.csv
beishang,Team WE,Tencent LoL Pro League,2020,Summer,4,,playoffs_appearances.csv
beishang,Team WE,Tencent LoL Pro League,2021,Spring,3,,playoffs_appearances.csv
beishang,Team WE,Tencent LoL Pro League,2021,Summer,22,,playoffs_appearances.csv
bonO (Kim Gi-beom),KT Rolster,LoL Champions Korea,2020,Spring,3,,playoffs_appearances.csv
caveMan,Vici Gaming,Tencent LoL Pro League,2016,Spring,7,,playoffs_appearances.csv
caveMan,Vici Gaming,Tencent LoL Pro League,2016,Summer,9,,playoffs_appearances.csv
ClearLove,EDward Gaming,Tencent LoL Pro League,2015,Summer,7,,playoffs_appearances.csv
clid,FunPlus Phoenix,Tencent LoL Pro League,2022,Spring,4,,playoffs_appearances.csv
COOL,Oh My God,Tencent LoL Pro League,2015,Summer,7,,playoffs_appearances.csv
deokdam,DWG KIA,LoL Champions Korea,2022,Spring,8,,playoffs_appearances.csv
deokdam,DWG KIA,LoL Champions Korea,2022,Summer,10,,playoffs_appearances.csv
deokdam,FunPlus Phoenix,Tencent LoL Pro League,2024,Spring,4,,playoffs_appearances.csv
deokdam,FunPlus Phoenix,Tencent LoL Pro League,2024,Summer,9,,playoffs_appearances.csv
deokdam,Nongshim RedForce,LoL Champions Korea,2021,Spring,5,,playoffs_appearances.csv
deokdam,Nongshim RedForce,LoL Champions Korea,2021,Summer,7,,playoffs_appearances.csv
fenfen,Suning,Tencent LoL Pro League,2017,Summer,2,,playoffs_appearances.csv
glfs,Invictus Gaming,Tencent LoL Pro League,2024,Summer,5,,playoffs_appearances.csv
GODV (Wei Zhen),LGD Gaming,Tencent LoL Pro League,2015,Summer,16,,playoffs_appearances.csv
gogoing,Oh My God,Tencent LoL Pro League,2015,Summer,7,,playoffs_appearances.csv
haichao,LGD Gaming,Tencent LoL Pro League,2024,Summer,9,,playoffs_appearances.csv
Hoya,DWG KIA,LoL Champions Korea,2022,Spring,3,,playoffs_appearances.csv
huanfeng,Suning,Tencent LoL Pro League,2020,Summer,10,,playoffs_appearances.csv
huanfeng,Suning,Tencent LoL Pro League,2021,Spring,10,,playoffs_appearances.csv
huanfeng,Suning,Tencent LoL Pro League,2021,Summer,5,,playoffs_appearances.csv
huanfeng,ThunderTalk Gaming,Tencent LoL Pro League,2023,Spring,4,,playoffs_appearances.csv
huanfeng,Weibo Gaming,Tencent LoL Pro League,2022,Spring,9,,playoffs_appearances.csv
huanfeng,Weibo Gaming,Tencent LoL Pro League,2022,Summer,4,,playoffs_appearances.csv
iBoy,EDward Gaming,Tencent LoL Pro League,2017,Summer,10,,playoffs_appearances.csv
iBoy,EDward Gaming,Tencent LoL Pro League,2018,Spring,8,,playoffs_appearances.csv
iBoy,EDward Gaming,Tencent LoL Pro League,2018,Summer,4,,playoffs_appearances.csv
iBoy,EDward Gaming,Tencent LoL Pro League,2019,Spring,3,,playoffs_appearances.csv
iBoy,EDward Gaming,Tencent LoL Pro League,2019,Summer,9,,playoffs_appearances.csv
iBoy,Rare Atom,Tencent LoL Pro League,2021,Spring,9,,playoffs_appearances.csv
iBoy,Rare Atom,Tencent LoL Pro League,2021,Summer,5,,playoffs_appearances.csv
iBoy,Rare Atom,Tencent LoL Pro League,2022,Spring,4,,playoffs_appearances.csv
icon,Bilibili Gaming,Tencent LoL Pro League,2022,Summer,4,,playoffs_appearances.csv
icon,LNG Esports,Tencent LoL Pro League,2021,Spring,3,,playoffs_appearances.csv
icon,LNG Esports,Tencent LoL Pro League,2021,Summer,20,,playoffs_appearances.csv
Icon,Oh My God,Tencent LoL Pro League,2017,Spring,14,,playoffs_appearances.csv
Icon,Oh My God,Tencent LoL Pro League,2017,Summer,4,,playoffs_appearances.csv
ikssu,Afreeca Freecs,LoL Champions Korea,2016,Spring,2,,playoffs_appearances.csv
